"Date (UTC)","Timestamp (UTC)","Republican","Democrat","Other"
"04-04-2024 00:00","1712188803","0.915","0.075","0.0115"
"04-11-2024 00:00","1712793603","0.915","0.075","0.0115"
"04-18-2024 00:00","1713398403","0.905","0.075","0.012"
"04-25-2024 00:00","1714003203","0.905","0.075","0.012"
"05-02-2024 00:00","1714608003","0.905","0.075","0.012"
"05-09-2024 00:00","1715212803","0.915","0.075","0.012"
"05-16-2024 00:00","1715817604","0.915","0.07","0.0115"
"05-23-2024 00:00","1716422403","0.91","0.065","0.0105"
"05-30-2024 00:00","1717027203","0.905","0.065","0.0105"
"06-06-2024 00:00","1717632003","0.91","0.065","0.0105"
"06-13-2024 00:00","1718236803","0.91","0.065","0.0105"
"06-20-2024 00:00","1718841604","0.915","0.065","0.0105"
"06-27-2024 00:00","1719446402","0.915","0.065","0.0105"
"07-04-2024 00:00","1720051203","0.95","0.0345","0.009"
"07-11-2024 00:00","1720656003","0.945","0.043","0.009"
"07-18-2024 00:00","1721260802","0.955","0.04","0.0075"
"07-25-2024 00:00","1721865601","0.955","0.04","0.007"
"08-01-2024 00:00","1722470402","0.955","0.04","0.008"
"08-08-2024 00:00","1723075201","0.955","0.0325","0.005"
"08-15-2024 00:00","1723680002","0.9655","0.03","0.0085"
"08-22-2024 00:00","1724284802","0.963","0.0295","0.0075"
"08-29-2024 00:00","1724889602","0.965","0.027","0.007"
"09-05-2024 00:00","1725494402","0.969","0.0255","0.007"
"09-12-2024 00:00","1726099202","0.968","0.026","0.006"
"09-19-2024 00:00","1726704001","0.971","0.026","0.006"
"09-26-2024 00:00","1727308802","0.975","0.0225","0.0045"
"10-03-2024 00:00","1727913602","0.976","0.021","0.004"
"10-05-2024 14:58","1728140282","0.976","0.021","0.004"